Source:,/Users/clarissadaniel/Desktop/wavegenerator_verson_1/wavegenerator_v1.sch,,,,,,,,,,
Date:,"Tuesday, July 09, 2019 at 02:38:23 PM",,,,,,,,,,
Tool:,Eeschema (5.1.2-1)-1,,,,,,,,,,
Generator:,/private/var/folders/4n/bxh41g_d1t59nmhvtjs2t4zc0000gn/T/AppTranslocation/DA27679E-DC47-4979-8058-8EDF014347C0/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,52,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4,Field5,,,
30,1,U1,ATmega328P-AU,MCU_Microchip_ATmega:ATmega328P-AU,Package_QFP:TQFP-32_7x7mm_P0.8mm,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,,,,,
31,1,U2,TFT_LCD,wavegenerator_v1:TFT_LCD,wavegenerator_v1:TFT_LCD_Updated_2,,"https://www.aliexpress.com/item/32996979276.html?spm=2114.search0104.3.28.22757d29D3oIUV&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10130_10068_10547_319_10546_317_10548_10545_10696_10084_453_454_10083_10618_10307_537_536_10059_10884_10887_321_322_10103,searchweb201603_53,ppcSwitch_0&algo_expid=1b3ab0b4-1daf-46c6-8798-e8f8bcf43471-4&algo_pvid=1b3ab0b4-1daf-46c6-8798-e8f8bcf43471&transAbTest=ae803_4",1.44 inch,,,
32,1,U3,LinReg,Regulator_Linear:LM337_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.ti.com/lit/ds/symlink/lm337-n.pdf,,,,,
33,1,U4,MAX038CPP,wavegenerator_v1:MAX038CPP,wavegenerator_v1:MAX038CPP-W,Ic Gen Waveform Hi-Freq 20-Dip,MAX038CPP,DIP-20 Maxim Integrated,None,Unavailable,Maxim Integrated
34,1,U5,MC33063AD,Regulator_Switching:MC33063AD,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF,,,,,
35,1,U6,1x2Pinheader,wavegenerator_v1:1x2Pinheader,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,Pin headers in lab,,,,,
36,1,U7,LM358,wavegenerator_v1:LM358,wavegenerator_v1:LM358_Updated,http://www.ti.com/product/LM358,,,,,
37,1,Y1,Crystal,Device:Crystal_Small,Crystal:Crystal_HC49-4H_Vertical,~,ABL-6.000MHZ-B2,https://www.digikey.com/product-detail/en/abracon-llc/ABL-6.000MHZ-B2/535-9060-ND/675255,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
